Row Labels,Sum of count3,,,,,,,,,
IL,22051,,,,,,,,,
IN,7747,,,,,,,,,
MS,4296,,,,,,,,,
WI,1647,,,,,,,,,
KY,1226,,,,,,,,,
OH,1121,,,,,,,,,
TN,1090,,,,,,10,100,1000,10000
AL,1070,,,,,,,,,
AR,944,,,,,,,,,
TX,937,,,,,,,,,
GA,933,,,,,,,,,
MI,679,,,,,,,,,
FL,673,,,,,,,,,
LA,529,,,,,,,,,
CA,526,,,,,,,,,
MN,474,,,,,,,,,
IA,397,,,,,,,,,
AZ,355,,,,,,,,,
MO,344,,,,,,,,,
NC,295,,,,,,,,,
VA,269,,,,,,,,,
OK,207,,,,,,,,,
WV,202,,,,,,,,,
CO,187,,,,,,,,,
PA,181,,,,,,,,,
KS,177,,,,,,,,,
WA,156,,,,,,,,,
SC,152,,,,,,,,,
MA,108,,,,,,,,,
NE,104,,,,,,,,,
NV,103,,,,,,,,,
NY,97,,,,,,,,,
NM,75,,,,,,,,,
MT,53,,,,,,,,,
UT,53,,,,,,,,,
MD,50,,,,,,,,,
CT,46,,,,,,,,,
OR,40,,,,,,,,,
ID,39,,,,,,,,,
SD,36,,,,,,,,,
AK,33,,,,,,,,,
ND,31,,,,,,,,,
WY,29,,,,,,,,,
NJ,21,,,,,,,,,
ME,18,,,,,,,,,
NH,14,,,,,,,,,
DE,10,,,,,,,,,
HI,8,,,,,,,,,
RI,5,,,,,,,,,
VT,4,,,,,,,,,
DC,2,,,,,,,,,
