company,drug,streak,start,end,reasons,color,type,info,,,,,,,,,,,,,
APP,acetylcysteine,1,7/24/13,7/24/13,demand increase,orange,pediatric;pulmonary;,200 mg/mL- 30 mL (NDC 63323-690-30) Backordered.  Next delivery expected late July.  Check wholesalers for inventory.;NULL Backordered.  Next delivery expected late July.  Check wholesalers for inventory.,,,,,,,,,,,,,
APP,acetylcysteine,2,8/7/13,11/8/13,demand increase,orange,pediatric;pulmonary;,200 mg/mL- 30 mL (NDC 63323-690-30) Backordered.  Next delivery expected late July.  Check wholesalers for inventory.;NULL Backordered.  Next delivery expected late July.  Check wholesalers for inventory.;200 mg/mL- 30 mL (NDC 63323-690-30) Backordered.  Next delivery expected September 2013.  Check wholesalers for inventory.;NULL Backordered.  Next delivery expected September 2013.  Check wholesalers for inventory.;200 mg/mL- 30 mL (NDC 63323-690-30) Backordered.  Next delivery expected mid September 2013.  Check wholesalers for inventory.;NULL Backordered.  Next delivery expected mid September 2013.  Check wholesalers for inventory.,,,,,,,,,,,,,
Fresenius,acetylcysteine,1,12/28/13,2/14/14,demand increase,orange,pediatric;pulmonary;,200 mg/mL- 30 mL (NDC 63323-690-30) Available.  Check wholesalers for inventory.;NULL Available.  Check wholesalers for inventory.;200 mg/mL- 30 mL (NDC 63323-690-30) Available Check wholesalers for inventory.;200mg/ml-4ml (NDC 63323-694-04) Available Check wholesalers for inventory.;200mg/ml -10 mL (NDC:63323-692-10)   Available  Check wholesalers for inventory.;NULL NULL Check wholesalers for inventory.,,,,,,,,,,,,,
Hospira,acetylcysteine,1,4/28/11,5/12/11,demand increase,orange,pediatric;pulmonary;,,,,,,,,,,,,,,
AmericanRegent,acetylcysteine,1,4/28/11,5/12/11,manufacturing delays,blue,pediatric;pulmonary;,,,,,,,,,,,,,,
Hospira,acetylcysteine,2,4/29/12,2/14/14,manufacturing delays; demand increase; available,blue,pediatric;pulmonary;,";100 mg/mL; 30 mL vial (NDC 0409-3307-03) Next delivery November Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Next delivery November  Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Available  Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial (NDC 0409-3307-03) Next delivery December Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Next delivery December Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial 
 (NDC 0409-3308-03) Next delivery December
 Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial 
 (NDC 0409-3307-03) Next delivery December
 Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial (NDC 0409-3307-03) Next delivery end December Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Next delivery end December 2012 Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Next delivery January. Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial (NDC 0409-3307-03) Next delivery January Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial (NDC 0409-3307-03) Next delivery March Estimated recovery: 2Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Next delivery March 2013. Estimated recovery: 2Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Next delivery April 2013. Estimated recovery: 2Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial (NDC 0409-3307-03) Next delivery April Estimated recovery: 2Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Next delivery May 2013. Estimated recovery: 2Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial (NDC 0409-3307-03) Next delivery May Estimated recovery: 2Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial (NDC 0409-3307-03) Next delivery early June Estimated recovery: 3Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Next delivery early June 2013. Estimated recovery: 3Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Next delivery early July 2013 Estimated recovery: 3Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial (NDC 0409-3307-03) Next delivery early July 2013 Estimated recovery: 3Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial (NDC 0409-3307-03) Recently released in early July.  Next delivery late July 2013. Estimated recovery: 3Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Recently released in early July.  Next delivery late July 2013. Estimated recovery: 3Q 2013   Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial (NDC 0409-3307-03) Next delivery August 2013. Estimated recovery: 4Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Next delivery August 2013. Estimated recovery: 4Q 2013   Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial (NDC 0409-3307-03) Next delivery late September. Estimated recovery: 4Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Next delivery late September. Estimated recovery: 4Q 2013   Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial (NDC 0409-3307-03) Next delivery December Estimated recovery: 1Q 2014 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial (NDC 0409-3308-03) Available  Please check with your wholesaler for available inventory. Shortage per Manufacturer: Available;100 mg/mL; 30 mL vial (NDC 0409-3307-03) Available Please check with your wholesaler for available inventory. Shortage per Manufacturer: Available",,,,,,,,,,,,,
AmericanRegent,acetylcysteine,2,4/29/12,2/14/14,manufacturing delays; not releasing,blue,pediatric;pulmonary;,;100 mg/mL- 4 mL (NDC 00517-7504-25) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution. Shortage per Manufacturer: Unavailable;100 mg/mL- 10 mL (NDC 00517-7510-03) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution. Shortage per Manufacturer: Unavailable;200 mg/mL- 10 mL (NDC 00517-7610-03) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution. Shortage per Manufacturer: Unavailable;200 mg/mL- 4 mL (NDC 00517-7604-25) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution. Shortage per Manufacturer: Unavailable;200 mg/mL- 30 mL (NDC 00517-7630-03) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution. Shortage per Manufacturer: Unavailable;100 mg/mL- 10 mL (NDC 00517-7510-03) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.;100 mg/mL- 4 mL (NDC 00517-7504-25) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 10 mL (NDC 00517-7610-03) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 4 mL (NDC 00517-7604-25) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 30 mL (NDC 00517-7630-03) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 10 mL (NDC 00517-7610-03) Unavailable - No product available for release. No plan to manufacture. American Regent is currently not releasing Acetylcysteine inhalation solution.;100 mg/mL- 4 mL (NDC 00517-7504-25) Unavailable - No product available for release. No plan to manufacture. American Regent is currently not releasing Acetylcysteine inhalation solution.;100 mg/mL- 10 mL (NDC 00517-7510-03) Unavailable - No product available for release. No plan to manufacture. American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 4 mL (NDC 00517-7604-25) Unavailable - No product available for release. No plan to manufacture. American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 30 mL (NDC 00517-7630-03) Unavailable - No product available for release. No plan to manufacture. American Regent is currently not releasing Acetylcysteine inhalation solution.,,,,,,,,,,,,,
Bedford,acyclovir,1,8/19/13,11/8/13,capacity constraints,blue,pediatric;antiviral;,500mg Inj SDV 10mL (NDC 5539061210) Unavailable  Shortage per Manufacturer: Capacity constraint Availability of products is updated on the Bedford Laboratories website.;1g Inj SDV 20 mL (NDC 5539061320) Unavailable Shortage per Manufacturer: Capacity constraint. Availability of products is updated on the Bedford Laboratories website.,,,,,,,,,,,,,
APP,acyclovir,1,11/13/12,11/8/13,demand increase; manufacturing delays,blue,pediatric;antiviral;,500mg- 10mL (NDC # 63323-325-10)   Next delivery expected mid December 2012   All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay;1g- 20mL (NDC # 63323-325-20) Next delivery expected mid December 2012   All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay;500mg- 10mL (NDC # 63323-325-10)   Next delivery expected mid January 2013   All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay;1g- 20mL (NDC # 63323-325-20) Next delivery expected mid January 2013   All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay;500mg- 10mL (NDC # 63323-325-10)   Next delivery expected early March 2013   All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay;1g- 20mL (NDC # 63323-325-20) Next delivery expected early March 2013   All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay;1g- 20mL (NDC # 63323-325-20) Next delivery expected May 2013. Check wholesaler inventory.   All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay;500mg- 10mL (NDC # 63323-325-10)   Next delivery expected May 2013. Check wholesaler inventory.   All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay;500mg- 10mL (NDC # 63323-325-10)   Next delivery expected June 2013. Check wholesaler inventory.   All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay;1g- 20mL (NDC # 63323-325-20) Next delivery expected June 2013. Check wholesaler inventory.   All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay;1g- 20mL (NDC # 63323-325-20) Next delivery expected July 2013. Check wholesaler inventory.   All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay;500mg- 10mL (NDC # 63323-325-10)   Next delivery expected July 2013. Check wholesaler inventory.   All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay;500mg- 10mL (NDC # 63323-325-10)   Available.   Check wholesaler inventory.   All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay;1g- 20mL (NDC # 63323-325-20) Currently on allocation.  Check wholesalers for inventory. All presentations currently on allocation with manufacturer.  Shortage per manufacturer: Manufacturing delay,,,,,,,,,,,,,
Carlsbad,acyclovir,1,4/8/10,7/3/10,manufacturing delays; demand increase,blue,pediatric;antiviral;,Manufacturing Delays         Increased Demand         Pending site transfer                         Increased Demand;Manufacturing Delays     Increased Demand             Pending site transfer                                           Increased Demand;Manufacturing Delays     Increased Demand           Pending site transfer                                   Increased Demand,,,,,,,,,,,,,
