company,drug,streak,start,end,reasons,color,type,info
Graceway,edetate,1,6/6/09,7/5/09,demand increase,orange,pediatric;endocrinology;,~~~Increase in demand;Additional Information: FDA and Graceway are working to resolve the shortage as soon as possible.~~~
AmericanRegent,acetylcysteine,1,4/28/11,5/12/11,manufacturing delays,blue,pediatric;pulmonary;,Manufacturing delays;American Regent has all acetylcysteine inhalation solution presentations on back order and the company cannot estimate a release date.;
AmericanRegent,acetylcysteine,2,4/29/12,2/14/14,manufacturing delays; not releasing,blue,pediatric;pulmonary;,Manufacturing delays;American Regent is releasing acetylcysteine inhalation solution as it becomes available.;Reverified 4/23/2012;Unavailable;American Regent is releasing acetylcysteine inhalation solution as it becomes available.;Revised 5/7/2012;100 mg/mL- 10 mL (NDC 00517-7510-03);Unavailable;American Regent is currently not releasing Acetylcysteine inhalation solution.;100 mg/mL- 4 mL (NDC 00517-7504-25);Unavailable;American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 10 mL (NDC 00517-7610-03);Unavailable;American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 30 mL (NDC 00517-7630-03);Unavailable;American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 4 mL (NDC 00517-7604-25);Unavailable;American Regent is currently not releasing Acetylcysteine inhalation solution.;100 mg/mL- 10 mL (NDC 00517-7510-03) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.--Shortage per Manufacturer: Unavailable;100 mg/mL- 4 mL (NDC 00517-7504-25) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.--Shortage per Manufacturer: Unavailable;200 mg/mL- 10 mL (NDC 00517-7610-03) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.--Shortage per Manufacturer: Unavailable;200 mg/mL- 30 mL (NDC 00517-7630-03) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.--Shortage per Manufacturer: Unavailable;200 mg/mL- 4 mL (NDC 00517-7604-25) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.--Shortage per Manufacturer: Unavailable;100 mg/mL- 10 mL (NDC 00517-7510-03) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.;100 mg/mL- 4 mL (NDC 00517-7504-25) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 10 mL (NDC 00517-7610-03) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 30 mL (NDC 00517-7630-03) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 4 mL (NDC 00517-7604-25) Unavailable American Regent is currently not releasing Acetylcysteine inhalation solution.;100 mg/mL- 10 mL (NDC 00517-7510-03) Unavailable - --No product available for release. No plan to manufacture. American Regent is currently not releasing Acetylcysteine inhalation solution.;100 mg/mL- 4 mL (NDC 00517-7504-25) Unavailable - --No product available for release. No plan to manufacture. American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 10 mL (NDC 00517-7610-03) Unavailable - --No product available for release. No plan to manufacture. American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 30 mL (NDC 00517-7630-03) Unavailable - --No product available for release. No plan to manufacture. American Regent is currently not releasing Acetylcysteine inhalation solution.;200 mg/mL- 4 mL (NDC 00517-7604-25) Unavailable - --No product available for release. No plan to manufacture. American Regent is currently not releasing Acetylcysteine inhalation solution.
APP,acetylcysteine,1,7/24/13,7/24/13,demand increase,orange,pediatric;pulmonary;,200 mg/mL- 30 mL (NDC 63323-690-30) Backordered.  Next delivery expected late July.  Check wholesalers for inventory.;NULL Backordered.  Next delivery expected late July.  Check wholesalers for inventory.
APP,acetylcysteine,2,8/7/13,11/8/13,demand increase,orange,pediatric;pulmonary;,200 mg/mL- 30 mL (NDC 63323-690-30) Backordered.  Next delivery expected late July.  Check wholesalers for inventory.;NULL Backordered.  Next delivery expected late July.  Check wholesalers for inventory.;200 mg/mL- 30 mL (NDC 63323-690-30) Backordered.  Next delivery expected September 2013.  Check wholesalers for inventory.;NULL Backordered.  Next delivery expected September 2013.  Check wholesalers for inventory.;200 mg/mL- 30 mL (NDC 63323-690-30) Backordered.  Next delivery expected mid September 2013.  Check wholesalers for inventory.;NULL Backordered.  Next delivery expected mid September 2013.  Check wholesalers for inventory.
Fresenius,acetylcysteine,1,12/28/13,2/14/14,demand increase,orange,pediatric;pulmonary;,200 mg/mL- 30 mL (NDC 63323-690-30) Available.  Check wholesalers for inventory.;NULL Available.  Check wholesalers for inventory.;200 mg/mL- 30 mL (NDC 63323-690-30) Available Check wholesalers for inventory.;200mg/ml-4ml (NDC 63323-694-04) Available Check wholesalers for inventory.;200mg/ml--10 mL (NDC:63323-692-10)--  Available  Check wholesalers for inventory.;NULL NULL Check wholesalers for inventory.
Hospira,acetylcysteine,1,4/28/11,5/12/11,demand increase,orange,pediatric;pulmonary;,Increase in demand;Hospira has 100 mg/mL 30 mL (NDC 00409-3307-03) vials available. The 200 mg/mL30 mL vials are on back order with an estimated release date of late-April 2011.;
Hospira,acetylcysteine,2,4/29/12,2/14/14,manufacturing delays; demand increase; available,blue,pediatric;pulmonary;,"Manufacturing delay.;Product 100 mg/mL; 30 mL vial (NDC 0409-3307-03):  next delivery June.--
--  
-- Product 200 mg/mL; 30 mL vial (NDC 0409-3308-03):  next delivery April.--
--  --
-- Please check with your wholesaler for available inventory.;Reverified
--  ;Manufacturing delay.;Product 100 mg/mL; 30 mL vial (NDC 0409-3307-03):  next delivery June.--   Product 200 mg/mL; 30 mL vial (NDC 0409-3308-03):  next delivery May.--  -- Please check with your wholesaler for available inventory.;Revised 4/30/2012--  ;100 mg/mL; 30 mL vial-- (NDC 0409-3307-03);Next delivery June;Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial-- (NDC 0409-3308-03);Next delivery July--;Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03);Next delivery August;Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03);Next delivery July;Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial-- (NDC 0409-3307-03);Next delivery August;Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial-- (NDC 0409-3308-03);Next delivery August;Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03);Next  delivery August;Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Next delivery November Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Next delivery November  Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Available  Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Next delivery December--Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Next delivery December--Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--
-- (NDC 0409-3307-03) Next delivery December
-- Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--
-- (NDC 0409-3308-03) Next delivery December
-- Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Next delivery end December--Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Next delivery end December 2012--Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Next delivery January--Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Next delivery January.--Estimated recovery: 1Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Next delivery March--Estimated recovery: 2Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Next delivery March 2013.--Estimated recovery: 2Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Next delivery April--Estimated recovery: 2Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Next delivery April 2013.--Estimated recovery: 2Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Next delivery May--Estimated recovery: 2Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Next delivery May 2013.--Estimated recovery: 2Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Next delivery early June--Estimated recovery: 3Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Next delivery early June 2013.--Estimated recovery: 3Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Next delivery early July 2013--Estimated recovery: 3Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Next delivery early July 2013--Estimated recovery: 3Q 2013 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Recently released in early July.  Next delivery late July 2013.--Estimated recovery: 3Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Recently released in early July.  Next delivery late July 2013.--Estimated recovery: 3Q 2013--  Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Next delivery August 2013.--Estimated recovery: 4Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Next delivery August 2013.--Estimated recovery: 4Q 2013--  Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Next delivery late September.--Estimated recovery: 4Q 2013 Please check with your wholesaler for available inventory.;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Next delivery late September.--Estimated recovery: 4Q 2013--  Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Next delivery December--Estimated recovery: 1Q 2014 Please check with your wholesaler for available inventory.;100 mg/mL; 30 mL vial--(NDC 0409-3307-03) Available Please check with your wholesaler for available inventory.--Shortage per Manufacturer: Available--;200 mg/mL; 30 mL vial--(NDC 0409-3308-03) Available  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: Available--"
Roxane,acetylcysteine,1,4/28/11,5/12/11,demand increase,orange,pediatric;pulmonary;,Increase in demand;Roxane Labs has available acetylcysteine inhalation solution 100 mg/mL 10 mL (NDC 00054-3027-02) and 30 mL (NDC 00054-3025-02) vials. The 200 mg/mL 10 mL and 30 mL vials are on back order and the company estimates a release date of late-May 2011.;
Roxane,acetylcysteine,2,4/29/12,2/14/14,manufacturing delays; demand increase; cannot provide an anticipate release date.s anticipate anticipate and,blue,pediatric;pulmonary;,"Manufacturing Delay;Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.; ;200 mg/mL- 10 mL (NDC 00054-3028-02); ;Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.;200 mg/mL- 30 mL (NDC 00054-3026-02); ;Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.;200 mg/mL- 10 mL (NDC 00054-3028-02); ;Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.;200 mg/mL- 30 mL (NDC 00054-3026-02); ;Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.;200 mg/mL- 10 mL (NDC 00054-3028-02)   Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.--Shortage per Manufacturer: Manufacturing Delay--;200 mg/mL- 30 mL (NDC 00054-3026-02)   Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.--Shortage per Manufacturer: Manufacturing Delay--;200 mg/mL- 10 mL (NDC 00054-3028-02)   Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.
-- Shortage per Manufacturer: Manufacturing Delay--
--;200 mg/mL- 30 mL (NDC 00054-3026-02)   Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.
-- Shortage per Manufacturer: Manufacturing Delay--
--;100 mg/mL- 10 mL(NDC 00054-3027-02) Unavailable  Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.--Shortage per Manufacturer: Manufacturing Delay--;100 mg/mL- 30 mL (NDC 00054-3025-02) Unavailable  Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.--Shortage per Manufacturer: Manufacturing Delay--;200 mg/mL- 10 mL (NDC 00054-3028-02) Unavailable  Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.--Shortage per Manufacturer: Manufacturing Delay--;200 mg/mL- 30 mL (NDC 00054-3026-02) Unavailable  Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.--Shortage per Manufacturer: Manufacturing Delay--;100 mg/mL- 10 mL(NDC 00054-3027-02) Unavailable  Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.;100 mg/mL- 30 mL (NDC 00054-3025-02) Unavailable  Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.;200 mg/mL- 10 mL (NDC 00054-3028-02) Unavailable  Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date.;200 mg/mL- 30 mL (NDC 00054-3026-02) Unavailable  Roxane Laboratories has all acetylcysteine inhalation solution presentations on backorder and the company cannot provide an anticipate release date."
