company,drug,streak,start,end,reasons,color,,,,,,,,,,,,,,
Graceway,edetate,1,6/6/09,7/5/09,Demand increase,orange,Increase in demand,,,,,,,,,,,,,
Carlsbad,acyclovir,1,4/8/10,7/3/10,Manufacturing delays; Demand increase,blue,Manufacturing Delays---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ----Pending site transfer---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand;Manufacturing Delays---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ----Pending site transfer---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand;Manufacturing Delays---- ---- ----Increased Demand---- ---- ---- ---- ---- ----Pending site transfer---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand,,,,,,,,,,,,,
GlaxoSmithKline,acyclovir,1,1/17/10,7/3/10,Manufacturing delays; Demand increase,blue,Manufacturing Delays---- ---- ----Increased Demand;Manufacturing Delays---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ----Pending site transfer---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand;Manufacturing Delays---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ----Pending site transfer---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand;Manufacturing Delays---- ---- ----Increased Demand---- ---- ---- ---- ---- ----Pending site transfer---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand,,,,,,,,,,,,,
Mylan,acyclovir,1,1/25/10,7/3/10,Manufacturing delays; Demand increase,blue,Manufacturing Delays---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ----Pending site transfer---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand;Manufacturing Delays---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ----Pending site transfer---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand;Manufacturing Delays---- ---- ----Increased Demand---- ---- ---- ---- ---- ----Pending site transfer---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand,,,,,,,,,,,,,
Teva,acyclovir,1,1/17/10,7/3/10,Manufacturing delays; Demand increase,blue,Manufacturing Delays---- ---- ----Increased Demand;Manufacturing Delays---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ---- ----Pending site transfer;Manufacturing Delays---- ---- ---- ---- ----Increased Demand---- ---- ---- ---- ----Pending site transfer---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand;Manufacturing Delays---- ---- ----Increased Demand---- ---- ---- ---- ---- ---- ----Pending site transfer---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand;Manufacturing Delays---- ---- ----Increased Demand---- ---- ---- ---- ---- ----Pending site transfer---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increased Demand,,,,,,,,,,,,,
Bedford,adriamycin,1,10/19/10,11/12/10,Demand increase,orange,Increased demand-- ,,,,,,,,,,,,,
Bedford,amikacin,1,7/9/10,10/9/10,Manufacturing delays,green,Manufacturing delays reported by both manufacturers.--;Manufacturing delays reported by both manufacturers.-- ,,,,,,,,,,,,,
Bedford,amikacin,2,12/18/10,4/22/11,Manufacturing delays,blue,Manufacturing delays----Manufacturing delays-- ;Manufacturing delays----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays;Manufacturing delays--             --             --             --             --             --             --             --             --             --             --             --             --             Manufacturing delays,,,,,,,,,,,,,
Teva,amikacin,1,7/9/10,10/9/10,Manufacturing delays,blue,Manufacturing delays reported by both manufacturers.--;Manufacturing delays reported by both manufacturers.-- ,,,,,,,,,,,,,
Teva,amikacin,2,12/18/10,4/22/11,Manufacturing delays,blue,Manufacturing delays----Manufacturing delays-- ;Manufacturing delays----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays;Manufacturing delays--             --             --             --             --             --             --             --             --             --             --             --             --             Manufacturing delays,,,,,,,,,,,,,
